tag3	tag1	name	autonym	source
azn		Western Durango Nahuatl	Meshikan de San Agustin Buenaventura y de Santa Cruz	iso639-3, ethnologue
azm		Ipalapa Amuzgo	Jñunda	iso639-3, ethnologue
azj		North Azerbaijani	азәрбајҹан дили‎ (Azərbaycan dili), азәрбајҹанҹа‎ (azərbaycanca)	iso639-3, ethnologue
azg		San Pedro Amuzgos Amuzgo	Jnꞌoon	iso639-3, ethnologue
azd		Eastern Durango Nahuatl	Meshikan de San Pedro Shikora	iso639-3, ethnologue
azb		South Azerbaijani	آذربایجان دیلی‎ (Azərbaycan dili), آذربایجانجا‎ (Azərbaycanca)	iso639-3, ethnologue
aza		Azha		iso639-3
ayz		Mai Brat		iso639-3
ayy		Tayabas Ayta		iso639-3
ayu		Ayu		iso639-3
ayt		Magbukun Ayta		iso639-3
ays		Sorsogon Ayta		iso639-3
ayr		Central Aymara	Aymar	iso639-3, ethnologue
ayq		Ayi (Papua New Guinea)		iso639-3
ayp		North Mesopotamian Arabic		iso639-3
ayo		Ayoreo	Morotoco	iso639-3, ethnologue
ayn		Sanaani Arabic		iso639-3
ayl		Libyan Arabic	ليبي‎ (Lībi)	iso639-3, ethnologue
ayk		Akuku		iso639-3
ayi		Leyigha		iso639-3
ayh		Hadrami Arabic		iso639-3
ayg		Ginyanga		iso639-3
aye		Ayere		iso639-3
ayd		Ayabadhu		iso639-3
ayc		Southern Aymara		iso639-3
ayb		Ayizo Gbe	Ayizo Gbe	iso639-3, ethnologue
aya		Awar		iso639-3
axx		Xârâgurè		iso639-3
axm		Middle Armenian		iso639-3
axl		Lower Southern Aranda		iso639-3
axk		Yaka (Central African Republic)	Aka	iso639-3, ethnologue
axg		Mato Grosso Arára		iso639-3
axe		Ayerrerenge		iso639-3
axb		Abipon		iso639-3
awy		Edera Awyu		iso639-3
awx		Awara		iso639-3
aww		Awun		iso639-3
awv		Jair Awyu		iso639-3
awu		Central Awyu		iso639-3
awt		Araweté		iso639-3
aws		South Awyu		iso639-3
awr		Awera		iso639-3
awo		Awak		iso639-3
awn		Awngi		iso639-3
awm		Arawum		iso639-3
awk		Awabakal		iso639-3
awi		Aekyom		iso639-3
awh		Awbono		iso639-3
awg		Anguthimri		iso639-3
awe		Awetí		iso639-3
awc		Cicipu		iso639-3
awb		Awa (Papua New Guinea)		iso639-3
awa		Awadhi	अवधी‎ (Awadhi)	cldr, ethnologue
bam	bm	Bambara	bamanakan	cldr
avv		Avá-Canoeiro		iso639-3
avu		Avokaya		iso639-3
bel	be	Belarusian	беларуская	cldr
bak	ba	Bashkir	башҡорт теле‎ (Başķort tele), башҡортса‎ (Başķortsa)	cldr, ethnologue
aze	az	Azerbaijani	azərbaycan	cldr
aym	ay	Aymara		cldr
ava	av	Avaric	авар мацӏ‎ (Awar mac̣), магӏарул мацӏ‎ (Maʿarul mac̣)	cldr, ethnologue
asm	as	Assamese	অসমীয়া	cldr
ara	ar	Arabic	العربية	cldr
arg	an	Aragonese	Aragonés	cldr, ethnologue
amh	am	Amharic	አማርኛ	cldr
aka	ak	Akan	Akan	cldr
afr	af	Afrikaans	Afrikaans	cldr
ave	ae	Avestan		cldr
aas		Aasáx		iso639-3
aat		Arvanitika Albanian		iso639-3
aau		Abau	Abau	iso639-3, ethnologue
aaw		Solong	Solong	iso639-3, ethnologue
aax		Mandobo Atas		iso639-3
aaz		Amarasi		iso639-3
aba		Abé		iso639-3
abb		Bankon		iso639-3
abc		Ambala Ayta		iso639-3
abd		Manide		iso639-3
abe		Western Abnaki	Alnôbak	iso639-3, ethnologue
abf		Abai Sungai		iso639-3
abg		Abaga		iso639-3
abh		Tajiki Arabic		iso639-3
abi		Abidji		iso639-3
abj		Aka-Bea		iso639-3
abl		Lampung Nyo		iso639-3
abm		Abanyom		iso639-3
abn		Abua	Abuan	iso639-3, ethnologue
abo		Abon		iso639-3
abp		Abellen Ayta		iso639-3
abq		Abaza	Abaza, абаза‎ (Abaza), абаза бызшва‎ (Abaza byzšva)	iso639-3, ethnologue
abr		Abron	Brong	iso639-3, ethnologue
abs		Ambonese Malay	Bahasa Ambon, Bahasa Melaju Ambon	iso639-3, ethnologue
abt		Ambulas	Ambulas	iso639-3, ethnologue
abu		Abure		iso639-3
abv		Baharna Arabic	العربية البحرانية‎ (Arab Bahraini)	iso639-3, ethnologue
abw		Pal		iso639-3
abx		Inabaknon	Inabaknon	iso639-3, ethnologue
aby		Aneme Wake		iso639-3
abz		Abui		iso639-3
aca		Achagua		iso639-3
acb		Áncá		iso639-3
acd		Gikyode		iso639-3
ace		Achinese	Aceh, Basa Acèh	cldr, ethnologue
acf		Saint Lucian Creole French	Kwéyòl, Patwa	iso639-3, ethnologue
ach		Acoli		cldr
aci		Aka-Cari		iso639-3
ack		Aka-Kora		iso639-3
acl		Akar-Bale		iso639-3
acm		Mesopotamian Arabic	عراقي‎ (ʕirāgi)	iso639-3, ethnologue
acn		Achang	Ngochang	iso639-3, ethnologue
acp		Eastern Acipa		iso639-3
acq		Ta'izzi-Adeni Arabic		iso639-3
acr		Achi	Qach’a’teem	iso639-3, ethnologue
acs		Acroá		iso639-3
act		Achterhoeks		iso639-3
acu		Achuar-Shiwiar	Achuar Chicham, Shiwiar Chicham	iso639-3, ethnologue
acv		Achumawi		iso639-3
acw		Hijazi Arabic		iso639-3
acx		Omani Arabic		iso639-3
acy		Cypriot Arabic	Sanna	iso639-3, ethnologue
acz		Acheron	Garme	iso639-3, ethnologue
ada		Adangme		cldr
adb		Adabe		iso639-3
add		Dzodinka		iso639-3
ade		Adele	Gidire	iso639-3, ethnologue
adf		Dhofari Arabic		iso639-3
adg		Andegerebinha		iso639-3
adh		Adhola	Dhopadhola	iso639-3, ethnologue
adi		Adi	Adi	iso639-3, ethnologue
adj		Adioukrou		iso639-3
adl		Galo		iso639-3
adn		Adang		iso639-3
ado		Abu		iso639-3
adq		Adangbe		iso639-3
adr		Adonara		iso639-3
ads		Adamorobe Sign Language		iso639-3
adt		Adnyamathanha		iso639-3
adu		Aduge		iso639-3
adw		Amundava		iso639-3
adx		Amdo Tibetan		iso639-3
ady		Adyghe	Адыгабзэ‎ (Adəgăbză)	cldr, ethnologue
adz		Adzera	Adzera	iso639-3, ethnologue
aea		Areba		iso639-3
aeb		Tunisian Arabic	Derja, تونسي‎ (Tounsi)	cldr, ethnologue
aec		Saidi Arabic		iso639-3
aed		Argentine Sign Language		iso639-3
aee		Northeast Pashai		iso639-3
aek		Haeke		iso639-3
ael		Ambele		iso639-3
aem		Arem		iso639-3
aen		Armenian Sign Language		iso639-3
aeq		Aer		iso639-3
aer		Eastern Arrernte	Arrernte	iso639-3, ethnologue
aes		Alsea		iso639-3
aeu		Akeu		iso639-3
aew		Ambakich		iso639-3
aey		Amele	Amele	iso639-3, ethnologue
aez		Aeka	Aeka	iso639-3, ethnologue
afb		Gulf Arabic	خليجي‎ (Khaliji)	iso639-3, ethnologue
afd		Andai		iso639-3
afe		Putukwam		iso639-3
afg		Afghan Sign Language		iso639-3
afh		Afrihili		cldr
afi		Akrukay		iso639-3
afk		Nanubae		iso639-3
afn		Defaka		iso639-3
afo		Eloyi	Eloyi	iso639-3, ethnologue
afp		Tapei		iso639-3
afs		Afro-Seminole Creole		iso639-3
aft		Afitti		iso639-3
afu		Awutu	Awutu	iso639-3, ethnologue
afz		Obokuitai		iso639-3
aga		Aguano		iso639-3
agb		Legbo		iso639-3
agc		Agatu		iso639-3
agd		Agarabi	Agarabi	iso639-3, ethnologue
age		Angal	Angal Heneng	iso639-3, ethnologue
agf		Arguni		iso639-3
agg		Angor		iso639-3
agh		Ngelima		iso639-3
agi		Agariya		iso639-3
agj		Argobba		iso639-3
agk		Isarog Agta		iso639-3
agl		Fembe		iso639-3
agm		Angaataha	Angaataha	iso639-3, ethnologue
agn		Agutaynen		iso639-3
ago		Tainae	Tainae	iso639-3, ethnologue
agq		Aghem	Aghem	cldr
agr		Aguaruna	Awajún	iso639-3, ethnologue
ags		Esimbi	Esimbi	iso639-3, ethnologue
agt		Central Cagayan Agta	Agta	iso639-3, ethnologue
agu		Aguacateco	Qa’yol	iso639-3, ethnologue
agv		Remontado Dumagat		iso639-3
agw		Kahua		iso639-3
agx		Aghul	агъул‎ (Aġul), агъул чӀал‎ (Ağul ҫ̇al)	iso639-3, ethnologue
agy		Southern Alta	Alta, Kaboloan	iso639-3, ethnologue
agz		Mt. Iriga Agta		iso639-3
aha		Ahanta		iso639-3
ahb		Axamb		iso639-3
ahg		Qimant		iso639-3
ahh		Aghu		iso639-3
ahi		Tiagbamrin Aizi		iso639-3
ahk		Akha	A˯ka˯daw˯‎ (Avkavdawv)	iso639-3, ethnologue
ahl		Igo	Igo	iso639-3, ethnologue
ahm		Mobumrin Aizi		iso639-3
ahn		Àhàn		iso639-3
aho		Ahom		iso639-3
ahp		Aproumu Aizi		iso639-3
ahr		Ahirani		iso639-3
ahs		Ashe	Ishe	iso639-3, ethnologue
aht		Ahtena		iso639-3
aia		Arosi	Arosi	iso639-3, ethnologue
aib		Ainu (China)		iso639-3
aic		Ainbai		iso639-3
aid		Alngith		iso639-3
aie		Amara		iso639-3
aif		Agi		iso639-3
aig		Antigua and Barbuda Creole English	Creole	iso639-3, ethnologue
aih		Ai-Cham		iso639-3
aii		Assyrian Neo-Aramaic	ܐܬܘܪܝܐ‎ (Ātūrāyā), ܣܘܪܬ‎ (Sūrët)	iso639-3, ethnologue
aij		Lishanid Noshan		iso639-3
aik		Ake		iso639-3
ail		Aimele		iso639-3
aim		Aimol	Aimol	iso639-3, ethnologue
ain		Ainu	アイヌ‎ (Aynu), アイヌ イタㇰ‎ (Aynu itak)	cldr, ethnologue
aio		Aiton		iso639-3
aip		Burumakok		iso639-3
aiq		Aimaq		iso639-3
air		Airoran		iso639-3
ais		Nataoran Amis		iso639-3
ait		Arikem		iso639-3
aiw		Aari	Aari	iso639-3, ethnologue
aix		Aighon	Aighon, Apsokok	iso639-3, ethnologue
aiy		Ali		iso639-3
aja		Aja (Sudan)		iso639-3
ajg		Aja (Benin)	Ajagbe	iso639-3, ethnologue
aji		Ajië		iso639-3
ajn		Andajin		iso639-3
ajp		South Levantine Arabic		iso639-3
ajt		Judeo-Tunisian Arabic		iso639-3
aju		Judeo-Moroccan Arabic		iso639-3
ajw		Ajawa		iso639-3
ajz		Amri Karbi	Amri Karbi	iso639-3, ethnologue
akb		Batak Angkola		iso639-3
akc		Mpur		iso639-3
akd		Ukpet-Ehom		iso639-3
ake		Akawaio	Kapon	iso639-3, ethnologue
akf		Akpa		iso639-3
akg		Anakalangu		iso639-3
akh		Angal Heneng		iso639-3
aki		Aiome		iso639-3
akj		Aka-Jeru		iso639-3
akk		Akkadian		cldr
akl		Aklanon	Inakeanon	iso639-3, ethnologue
akm		Aka-Bo		iso639-3
ako		Akurio		iso639-3
akp		Siwu	Siwu	iso639-3, ethnologue
akq		Ak		iso639-3
akr		Araki		iso639-3
aks		Akaselem		iso639-3
akt		Akolet		iso639-3
aku		Akum		iso639-3
akv		Akhvakh		iso639-3
akw		Akwa		iso639-3
akx		Aka-Kede		iso639-3
aky		Aka-Kol		iso639-3
akz		Alabama		cldr
ala		Alago		iso639-3
alc		Qawasqar		iso639-3
ald		Alladian		iso639-3
ale		Aleut	Unangam tunnu	cldr, ethnologue
alf		Alege		iso639-3
alh		Alawa		iso639-3
ali		Amaimon		iso639-3
alj		Alangan		iso639-3
alk		Alak		iso639-3
all		Allar		iso639-3
alm		Amblong		iso639-3
aln		Gheg Albanian	Gegnisht-Shqyp, Shqyp	cldr, ethnologue
alo		Larike-Wakasihu		iso639-3
alp		Alune		iso639-3
alq		Algonquin	Anishinaabemowin	iso639-3, ethnologue
alr		Alutor		iso639-3
als		Tosk Albanian	Shqip	iso639-3, ethnologue
alt		Southern Altai	алтай тили‎ (Altay tili), алтайча‎ (Altajča)	cldr, ethnologue
alu		'Are'are	’Are’are	iso639-3, ethnologue
alw		Alaba-K’abeena		iso639-3
alx		Amol		iso639-3
aly		Alyawarr		iso639-3
alz		Alur	DhuAlur	iso639-3, ethnologue
ama		Amanayé		iso639-3
amb		Ambo		iso639-3
amc		Amahuaca	Yora	iso639-3, ethnologue
ame		Yanesha'	Yanesha’	iso639-3, ethnologue
amf		Hamer-Banna		iso639-3
amg		Amurdak		iso639-3
ami		Amis	Amis	iso639-3, ethnologue
amj		Amdang		iso639-3
amk		Ambai		iso639-3
aml		War-Jaintia		iso639-3
amm		Ama (Papua New Guinea)		iso639-3
amn		Amanab	Awai	iso639-3, ethnologue
amo		Amo	Timap	iso639-3, ethnologue
amp		Alamblak		iso639-3
amq		Amahai		iso639-3
amr		Amarakaeri	Amarakaeri, Harakmbut	iso639-3, ethnologue
ams		Southern Amami-Oshima		iso639-3
amt		Amto		iso639-3
amu		Guerrero Amuzgo	Ñomndaa	iso639-3, ethnologue
amv		Ambelau		iso639-3
amw		Western Neo-Aramaic		iso639-3
amx		Anmatyerre		iso639-3
amy		Ami		iso639-3
amz		Atampaya		iso639-3
ana		Andaqui		iso639-3
anb		Andoa	Simikai	iso639-3, ethnologue
anc		Ngas		iso639-3
and		Ansus		iso639-3
ane		Xârâcùù		iso639-3
anf		Animere		iso639-3
ang		Old English		cldr
anh		Nend		iso639-3
ani		Andi	къIaваннаб мицци‎ (Qwavannab Micci), мицци‎ (Micci)	iso639-3, ethnologue
anj		Anor		iso639-3
ank		Goemai		iso639-3
anl		Anu-Hkongso Chin		iso639-3
anm		Anal		iso639-3
ann		Obolo	Obolo	iso639-3, ethnologue
ano		Andoque		iso639-3
anp		Angika	अंगिका‎ (Angika)	cldr, ethnologue
anq		Jarawa (India)		iso639-3
anr		Andh		iso639-3
ans		Anserma		iso639-3
ant		Antakarinya		iso639-3
anu		Anuak		iso639-3
anv		Denya	Denya	iso639-3, ethnologue
anw		Anaang		iso639-3
anx		Andra-Hus		iso639-3
any		Anyin		iso639-3
anz		Anem		iso639-3
aoa		Angolar		iso639-3
aob		Abom		iso639-3
aoc		Pemon	Kamarakotos	iso639-3, ethnologue
aod		Andarum		iso639-3
aoe		Angal Enen		iso639-3
aof		Bragat		iso639-3
aog		Angoram		iso639-3
aoh		Arma		iso639-3
aoi		Anindilyakwa		iso639-3
aoj		Mufian		iso639-3
aok		Arhö		iso639-3
aol		Alor		iso639-3
aom		Ömie		iso639-3
aon		Bumbita Arapesh	Weri	iso639-3, ethnologue
aor		Aore		iso639-3
aos		Taikat		iso639-3
aot		Atong (India)		iso639-3
aou		A'ou		iso639-3
aox		Atorada		iso639-3
aoz		Uab Meto	Uab Meto	iso639-3, ethnologue
apb		Sa'a		iso639-3
apc		North Levantine Arabic	اللهجة العربيّة السورىّة‎ (El-lahjeẗ el-‛arabīyeẗ es-sūrīyé)	iso639-3, ethnologue
apd		Sudanese Arabic	Arabi	iso639-3, ethnologue
ape		Bukiyip		iso639-3
apf		Pahanan Agta		iso639-3
apg		Ampanang		iso639-3
aph		Athpariya	आठपहरिया‎ (Āṭhapahariyā)	iso639-3, ethnologue
api		Apiaká		iso639-3
apj		Jicarilla Apache	Abáachi mizaa, Jicarilla Abáachi	iso639-3, ethnologue
apk		Kiowa Apache		iso639-3
apl		Lipan Apache		iso639-3
apm		Mescalero-Chiricahua Apache	Ndee bizaa	iso639-3, ethnologue
apn		Apinayé	Apinayé	iso639-3, ethnologue
apo		Ambul		iso639-3
app		Apma	Apma, Dalekte	iso639-3, ethnologue
apq		A-Pucikwar		iso639-3
apr		Arop-Lokep	Arop-Lokep	iso639-3, ethnologue
aps		Arop-Sissano		iso639-3
apt		Apatani		iso639-3
apu		Apurinã		iso639-3
apv		Alapmunte		iso639-3
apw		Western Apache	Ndee biyáti’	iso639-3, ethnologue
apx		Aputai		iso639-3
apy		Apalaí		iso639-3
apz		Safeyoka		iso639-3
aqc		Archi		iso639-3
aqd		Ampari Dogon		iso639-3
aqg		Arigidi		iso639-3
aqm		Atohwaim		iso639-3
aqn		Northern Alta		iso639-3
aqp		Atakapa		iso639-3
aqr		Arhâ		iso639-3
aqt		Angaité		iso639-3
aqz		Akuntsu		iso639-3
arb		Standard Arabic	العربية‎ (al-ʻArabīyah)	iso639-3, ethnologue
arc		Aramaic		cldr
ard		Arabana		iso639-3
are		Western Arrarnta	Arrente	iso639-3, ethnologue
arh		Arhuaco	Iku	iso639-3, ethnologue
ari		Arikara		iso639-3
arj		Arapaso		iso639-3
ark		Arikapú		iso639-3
arl		Arabela	Tapueyocaca	iso639-3, ethnologue
arn		Mapuche	Mapudungun	cldr
aro		Araona		cldr
arp		Arapaho	Hinónoʼeitíít	cldr, ethnologue
arq		Algerian Arabic	دزيرية‎ (Dziria)	cldr, ethnologue
arr		Karo (Brazil)		iso639-3
ars		Najdi Arabic		cldr
aru		Aruá (Amazonas State)		iso639-3
arv		Arbore		iso639-3
arw		Arawak	Arawak, Lokono	cldr, ethnologue
arx		Aruá (Rodonia State)		iso639-3
ary		Moroccan Arabic	الدارجة‎ (Darija)	cldr, ethnologue
arz		Egyptian Arabic	مصري‎ (Masri)	cldr, ethnologue
asa		Asu	Kipare	cldr
asb		Assiniboine		iso639-3
asc		Casuarina Coast Asmat		iso639-3
asd		Asas		iso639-3
ase		American Sign Language		cldr
asf		Australian Sign Language		iso639-3
asg		Cishingini	Cishingini	iso639-3, ethnologue
ash		Abishira		iso639-3
asi		Buruwai		iso639-3
asj		Sari	Sari	iso639-3, ethnologue
ask		Ashkun		iso639-3
asl		Asilulu		iso639-3
asn		Xingú Asuriní		iso639-3
aso		Dano		iso639-3
asp		Algerian Sign Language		iso639-3
asq		Austrian Sign Language		iso639-3
asr		Asuri		iso639-3
ass		Ipulo		iso639-3
ast		Asturian	asturianu	cldr
asu		Tocantins Asurini	Asuriní	iso639-3, ethnologue
asv		Asoa		iso639-3
asw		Australian Aborigines Sign Language		iso639-3
asx		Muratayak		iso639-3
asy		Yaosakor Asmat	Asmat	iso639-3, ethnologue
asz		As		iso639-3
ata		Pele-Ata		iso639-3
atb		Zaiwa		iso639-3
atc		Atsahuaca		iso639-3
atd		Ata Manobo		iso639-3
ate		Atemble		iso639-3
atg		Ivbie North-Okpela-Arhe		iso639-3
ati		Attié		iso639-3
atj		Atikamekw	Atikamekw	iso639-3, ethnologue
atk		Ati		iso639-3
atl		Mt. Iraya Agta		iso639-3
atm		Ata		iso639-3
atn		Ashtiani		iso639-3
ato		Atong (Cameroon)		iso639-3
atp		Pudtol Atta		iso639-3
atq		Aralle-Tabulahan		iso639-3
atr		Waimiri-Atroari		iso639-3
ats		Gros Ventre		iso639-3
att		Pamplona Atta	Atta	iso639-3, ethnologue
atu		Reel	Thok Reel	iso639-3, ethnologue
atv		Northern Altai	Алтай тили‎ (Altay tili)	iso639-3, ethnologue
atw		Atsugewi		iso639-3
atx		Arutani		iso639-3
aty		Aneityum	Anejom, Intas Anejom	iso639-3, ethnologue
atz		Arta		iso639-3
aua		Asumboa		iso639-3
aub		Alugu		iso639-3
auc		Waorani	Wao Tededö	iso639-3, ethnologue
aud		Anuta		iso639-3
aug		Aguna		iso639-3
auh		Aushi		iso639-3
aui		Anuki		iso639-3
auj		Awjilah		iso639-3
auk		Heyo		iso639-3
aul		Aulua		iso639-3
aum		Asu (Nigeria)		iso639-3
aun		Molmo One	One	iso639-3, ethnologue
auo		Auyokawa		iso639-3
aup		Makayam		iso639-3
auq		Anus		iso639-3
aur		Aruek		iso639-3
aut		Austral		iso639-3
auu		Auye		iso639-3
auw		Awyi		iso639-3
aux		Aurá		iso639-3
auy		Awiyaana		iso639-3
auz		Uzbeki Arabic		iso639-3
avb		Avau		iso639-3
avd		Alviri-Vidari		iso639-3
avi		Avikam		iso639-3
avk		Kotava		cldr
avl		Eastern Egyptian Bedawi Arabic		iso639-3
avm		Angkamuthi		iso639-3
avn		Avatime	Si-yà	iso639-3, ethnologue
avo		Agavotaguerra		iso639-3
avs		Aushiri		iso639-3
avt		Au	Au	iso639-3, ethnologue
kyp		Kang		iso639-3
bul	bg	Bulgarian	български	cldr
bod	bo	Tibetan	བོད་སྐད་	cldr
bis	bi	Bislama	Bislama	cldr, ethnologue
bre	br	Breton	brezhoneg	cldr
buk		Bugawac		iso639-3
buj		Basa-Gurmana		iso639-3
bui		Bongili		iso639-3
buh		Younuo Bunu		iso639-3
bug		Buginese	Basa Ugi	cldr, ethnologue
buf		Bushoong		iso639-3
bue		Beothuk		iso639-3
bud		Ntcham	Ncham	iso639-3, ethnologue
buc		Bushi	Kibushi, Shibushi Shimaore	iso639-3, ethnologue
bub		Bua		iso639-3
bua		Buriat		cldr
btz		Batak Alas-Kluet		iso639-3
bty		Bobot		iso639-3
btx		Batak Karo		iso639-3
btw		Butuanon		iso639-3
btv		Bateri		iso639-3
btu		Batu		iso639-3
btt		Bete-Bendi		iso639-3
bts		Batak Simalungun		iso639-3
btr		Baetora		iso639-3
btq		Batek		iso639-3
btp		Budibud		iso639-3
bto		Rinconada Bikol		iso639-3
btn		Ratagnon		iso639-3
btm		Batak Mandailing		iso639-3
btj		Bacanese Malay		iso639-3
bti		Burate		iso639-3
bth		Biatah Bidayuh		iso639-3
btg		Gagnoa Bété		iso639-3
btf		Birgit		iso639-3
bte		Gamo-Ningi		iso639-3
btd		Batak Dairi		iso639-3
btc		Bati (Cameroon)		iso639-3
bta		Bata		iso639-3
bsy		Sabah Bisaya		iso639-3
bsx		Yangkam		iso639-3
bsw		Baiso		iso639-3
bsv		Baga Sobané		iso639-3
bsu		Bahonsuai		iso639-3
bst		Basketo		iso639-3
bss		Akoose	Akoose	cldr
bsr		Bassa-Kontagora		iso639-3
bsq		Bassa		iso639-3
bsp		Baga Sitemu		iso639-3
bso		Buso		iso639-3
bsn		Barasana-Eduria	Barasana-Eduria	iso639-3, ethnologue
bsm		Busami		iso639-3
bsl		Basa-Gumna		iso639-3
bsk		Burushaski	Burushaski, Mishaski, بروشسکی‎ (burū́šaskī)	iso639-3, ethnologue
bsj		Bangwinji		iso639-3
bsi		Bassossi		iso639-3
bsh		Kati		iso639-3
bsg		Bashkardi		iso639-3
bsf		Bauchi		iso639-3
bse		Wushi		iso639-3
bsc		Bassari	Oniyan	iso639-3, ethnologue
bsb		Brunei Bisaya		iso639-3
bsa		Abinomn		iso639-3
brz		Bilbil	Bel	iso639-3, ethnologue
bry		Burui		iso639-3
brx		Bodo	बड़ो	cldr
brw		Bellari		iso639-3
brv		Western Bru		iso639-3
bru		Eastern Bru		iso639-3
brt		Bitare		iso639-3
brs		Baras		iso639-3
brr		Birao		iso639-3
brq		Breri		iso639-3
brp		Barapasi		iso639-3
bro		Brokkat		iso639-3
brn		Boruca		iso639-3
brm		Barambu		iso639-3
